Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
Canada;2019;DDoS;IT;16.56;211843;Nation-state;Social Engineering;AI-based Detection;66
Brazil;2022;Phishing;Education;50.08;522833;Unknown;Social Engineering;VPN;52
Spain;2016;DDoS;IT;46.41;721115;Nation-state;Zero-day;Firewall;39
Japan;2020;SQL Injection;Government;65.78;140590;Insider;Zero-day;Firewall;116
Germany;2020;Phishing;Banking;80.38;814643;Hacker Group;Social Engineering;Antivirus;114
Mexico;2023;Malware;Retail;46.26;85160;Unknown;Social Engineering;Firewall;82
Russia;2023;Malware;Telecommunications;10.99;377419;Hacker Group;Social Engineering;Antivirus;47
Iran;2017;Phishing;IT;34.58;466827;Nation-state;Social Engineering;Antivirus;106
China;2016;Malware;Retail;99.0;432480;Insider;Unpatched Software;AI-based Detection;24
USA;2024;Ransomware;Healthcare;96.42;357289;Unknown;Weak Passwords;Antivirus;104
Italy;2018;Man-in-the-Middle;IT;62.25;98575;Nation-state;Zero-day;Firewall;40
Brazil;2016;Man-in-the-Middle;Retail;82.94;731885;Insider;Zero-day;Firewall;104
France;2021;Ransomware;Healthcare;10.35;267087;Insider;Weak Passwords;VPN;73
Russia;2018;Phishing;Retail;31.77;459977;Hacker Group;Social Engineering;VPN;34
Nigeria;2017;SQL Injection;Banking;98.08;227839;Hacker Group;Zero-day;Firewall;28
Germany;2020;Man-in-the-Middle;Healthcare;58.57;144348;Hacker Group;Weak Passwords;AI-based Detection;120
South Africa;2019;Malware;Banking;99.92;945332;Insider;Social Engineering;AI-based Detection;25
Australia;2024;Man-in-the-Middle;Retail;51.86;868794;Insider;Zero-day;Firewall;74
Brazil;2024;Man-in-the-Middle;Banking;98.63;194605;Insider;Zero-day;Antivirus;119
South Korea;2017;Phishing;IT;77.26;840712;Unknown;Social Engineering;VPN;38
South Korea;2021;Malware;IT;1.03;494216;Nation-state;Weak Passwords;VPN;99
Spain;2024;DDoS;Banking;54.7;520230;Nation-state;Social Engineering;AI-based Detection;65
South Korea;2020;Ransomware;Retail;60.53;866000;Hacker Group;Weak Passwords;Encryption;67
Mexico;2022;Malware;Healthcare;30.64;664709;Unknown;Zero-day;VPN;39
Israel;2016;DDoS;Banking;92.31;629164;Hacker Group;Zero-day;Antivirus;67
UK;2019;Malware;Retail;58.95;399562;Nation-state;Unpatched Software;VPN;66
Japan;2016;Phishing;Education;48.01;196491;Insider;Social Engineering;VPN;70
India;2018;Phishing;IT;24.07;885711;Hacker Group;Social Engineering;Antivirus;90
Italy;2018;Ransomware;Banking;50.78;323731;Nation-state;Weak Passwords;AI-based Detection;76
South Africa;2020;SQL Injection;Telecommunications;1.1;785387;Unknown;Zero-day;Firewall;41
South Africa;2017;Ransomware;IT;15.31;941175;Hacker Group;Weak Passwords;VPN;32
Brazil;2015;Man-in-the-Middle;Retail;74.35;342864;Insider;Weak Passwords;Firewall;61
Australia;2015;Malware;Education;28.74;489697;Unknown;Weak Passwords;Antivirus;76
Israel;2015;DDoS;Government;25.64;318868;Hacker Group;Weak Passwords;AI-based Detection;69
Italy;2017;DDoS;Government;85.59;54781;Nation-state;Zero-day;Antivirus;94
Nigeria;2016;Ransomware;Telecommunications;77.47;465383;Insider;Weak Passwords;AI-based Detection;24
Iran;2023;DDoS;IT;85.43;156415;Insider;Weak Passwords;Antivirus;114
Australia;2022;SQL Injection;Government;26.53;461355;Hacker Group;Zero-day;Firewall;107
South Korea;2019;DDoS;Retail;63.02;511336;Insider;Unpatched Software;AI-based Detection;85
Israel;2023;Malware;Retail;72.17;408205;Nation-state;Unpatched Software;VPN;30
Spain;2015;Man-in-the-Middle;Telecommunications;51.45;601051;Insider;Zero-day;AI-based Detection;111
Brazil;2019;Malware;Telecommunications;41.02;372474;Insider;Zero-day;VPN;80
Iran;2021;Ransomware;Government;48.79;717298;Insider;Weak Passwords;AI-based Detection;108
Spain;2022;Ransomware;Education;49.31;730697;Nation-state;Weak Passwords;Firewall;76
India;2019;Phishing;Healthcare;82.8;461734;Insider;Social Engineering;Antivirus;89
China;2019;Malware;Retail;69.47;240651;Hacker Group;Social Engineering;VPN;26
Australia;2017;Malware;IT;20.58;351979;Hacker Group;Unpatched Software;Antivirus;75
Japan;2019;DDoS;Healthcare;87.21;664634;Unknown;Social Engineering;VPN;62
Italy;2023;Phishing;Banking;60.61;822677;Nation-state;Social Engineering;VPN;55
Italy;2022;Ransomware;Healthcare;72.26;13925;Nation-state;Weak Passwords;AI-based Detection;61
South Korea;2016;Ransomware;IT;11.37;983295;Nation-state;Weak Passwords;Firewall;34
Japan;2018;Man-in-the-Middle;Telecommunications;41.13;684367;Insider;Social Engineering;VPN;101
Spain;2021;SQL Injection;Telecommunications;34.69;595001;Insider;Zero-day;Firewall;30
South Korea;2022;Ransomware;Banking;84.29;688632;Unknown;Weak Passwords;Encryption;70
UK;2021;Malware;Education;86.88;894010;Hacker Group;Unpatched Software;AI-based Detection;45
UK;2024;Man-in-the-Middle;Healthcare;69.42;783504;Insider;Unpatched Software;AI-based Detection;68
USA;2016;Ransomware;Education;5.5;877253;Insider;Weak Passwords;Firewall;73
Nigeria;2018;Malware;Telecommunications;75.05;899770;Hacker Group;Social Engineering;Antivirus;73
Iran;2022;Phishing;Education;53.23;407757;Insider;Social Engineering;VPN;62
Israel;2018;Phishing;Telecommunications;30.9;482091;Hacker Group;Social Engineering;Antivirus;34
Nigeria;2023;SQL Injection;Government;74.91;174952;Nation-state;Zero-day;Firewall;74
Japan;2017;DDoS;Education;40.9;637479;Insider;Unpatched Software;AI-based Detection;80
Nigeria;2024;Man-in-the-Middle;Education;97.43;133472;Nation-state;Social Engineering;Firewall;111
Iran;2018;Malware;Retail;95.97;100806;Nation-state;Zero-day;Encryption;94
South Africa;2019;DDoS;Banking;59.25;935510;Unknown;Zero-day;Encryption;119
Nigeria;2017;Man-in-the-Middle;Retail;39.77;902408;Hacker Group;Social Engineering;AI-based Detection;29
Germany;2023;DDoS;Government;56.77;949186;Hacker Group;Zero-day;AI-based Detection;37
Russia;2018;Man-in-the-Middle;Education;96.31;629505;Hacker Group;Unpatched Software;Firewall;66
Israel;2017;Man-in-the-Middle;Healthcare;4.52;712477;Insider;Social Engineering;Encryption;79
Russia;2023;SQL Injection;Banking;36.76;591930;Unknown;Zero-day;Firewall;75
Japan;2024;Man-in-the-Middle;Healthcare;25.66;608053;Nation-state;Weak Passwords;Firewall;26
Iran;2018;SQL Injection;IT;73.4;453494;Nation-state;Zero-day;Firewall;26
Brazil;2018;Malware;Government;5.87;507299;Hacker Group;Zero-day;VPN;78
USA;2017;Phishing;Retail;1.09;476234;Nation-state;Social Engineering;Antivirus;67
India;2015;SQL Injection;Banking;68.8;379593;Insider;Zero-day;Firewall;42
Germany;2015;DDoS;Banking;75.97;849194;Unknown;Social Engineering;Encryption;49
France;2024;Malware;Telecommunications;81.15;669168;Hacker Group;Unpatched Software;VPN;59
Russia;2023;Man-in-the-Middle;Government;58.52;481885;Insider;Zero-day;Firewall;57
Canada;2015;Phishing;Telecommunications;98.55;87538;Nation-state;Social Engineering;Antivirus;105
Mexico;2023;Malware;Government;3.08;644353;Hacker Group;Social Engineering;Encryption;63
Iran;2016;DDoS;Healthcare;94.71;322168;Insider;Weak Passwords;VPN;90
Nigeria;2015;Ransomware;Healthcare;51.79;359443;Insider;Weak Passwords;VPN;56
Israel;2019;Man-in-the-Middle;Government;72.66;972822;Nation-state;Social Engineering;Encryption;106
South Africa;2018;SQL Injection;IT;20.09;307081;Unknown;Zero-day;Firewall;37
Brazil;2018;Man-in-the-Middle;IT;45.62;240165;Unknown;Weak Passwords;Antivirus;64
Italy;2024;DDoS;Banking;45.61;130515;Unknown;Zero-day;Encryption;118
India;2017;Phishing;IT;98.79;33559;Insider;Social Engineering;VPN;80
Australia;2019;SQL Injection;IT;42.2;394134;Nation-state;Zero-day;Firewall;25
Australia;2022;DDoS;Banking;40.19;792100;Hacker Group;Unpatched Software;AI-based Detection;87
India;2019;Malware;IT;4.43;866995;Insider;Zero-day;Antivirus;49
France;2020;Ransomware;Government;57.53;373082;Nation-state;Weak Passwords;Encryption;102
Japan;2023;SQL Injection;Healthcare;20.94;767126;Nation-state;Zero-day;Firewall;103
Russia;2015;Ransomware;Healthcare;78.58;446410;Unknown;Weak Passwords;VPN;47
Germany;2019;Ransomware;Healthcare;57.57;125783;Insider;Weak Passwords;VPN;91
Germany;2022;Phishing;Government;74.68;232006;Unknown;Social Engineering;Antivirus;59
Italy;2017;SQL Injection;Banking;93.56;897740;Hacker Group;Zero-day;Firewall;104
Iran;2019;Malware;Banking;30.23;301222;Hacker Group;Social Engineering;Encryption;106
USA;2022;Ransomware;IT;82.02;616099;Hacker Group;Weak Passwords;Encryption;27
Brazil;2017;DDoS;Retail;16.42;41436;Unknown;Weak Passwords;Encryption;77
South Korea;2016;DDoS;Telecommunications;13.65;208886;Hacker Group;Social Engineering;Encryption;69
USA;2018;Man-in-the-Middle;Telecommunications;10.95;150130;Nation-state;Unpatched Software;Antivirus;25
Iran;2024;Malware;IT;17.33;926910;Unknown;Social Engineering;AI-based Detection;118
South Korea;2018;Ransomware;Healthcare;95.76;222210;Nation-state;Weak Passwords;AI-based Detection;87
Japan;2022;Phishing;Healthcare;40.95;567798;Nation-state;Social Engineering;Antivirus;117
India;2021;Phishing;Government;33.65;473222;Insider;Social Engineering;VPN;28
China;2019;SQL Injection;Retail;98.81;555969;Nation-state;Zero-day;Firewall;110
Nigeria;2017;Phishing;Retail;91.07;360783;Insider;Social Engineering;VPN;94
Spain;2023;DDoS;IT;6.38;303296;Hacker Group;Unpatched Software;Antivirus;40
Mexico;2018;Phishing;Government;83.31;836991;Unknown;Social Engineering;Antivirus;80
China;2021;Phishing;IT;60.45;25189;Unknown;Social Engineering;Antivirus;94
UK;2018;SQL Injection;IT;66.33;303518;Unknown;Zero-day;Firewall;33
South Korea;2019;Ransomware;Education;42.05;448185;Insider;Weak Passwords;Antivirus;62
Canada;2020;Malware;Education;60.73;530205;Unknown;Zero-day;Encryption;75
Iran;2019;Phishing;Banking;47.86;300877;Nation-state;Social Engineering;Antivirus;29
Spain;2021;Phishing;IT;61.83;644047;Insider;Social Engineering;Antivirus;90
USA;2017;DDoS;Education;94.88;983939;Hacker Group;Weak Passwords;Encryption;101
Iran;2015;Ransomware;Retail;83.71;843576;Insider;Weak Passwords;AI-based Detection;37
Nigeria;2015;Man-in-the-Middle;Healthcare;45.87;921007;Unknown;Zero-day;Firewall;104
Italy;2020;Ransomware;Retail;63.97;946245;Unknown;Weak Passwords;AI-based Detection;66
Nigeria;2017;SQL Injection;Retail;52.64;290669;Hacker Group;Zero-day;Firewall;117
France;2021;Phishing;Healthcare;97.38;237679;Insider;Social Engineering;VPN;116
UK;2020;DDoS;Retail;33.4;657661;Insider;Social Engineering;AI-based Detection;64
Brazil;2018;SQL Injection;Education;56.19;433238;Nation-state;Zero-day;Firewall;33
South Korea;2017;Man-in-the-Middle;IT;34.74;447041;Insider;Unpatched Software;Antivirus;116
USA;2024;SQL Injection;Government;11.85;256188;Insider;Zero-day;Firewall;107
Iran;2020;Ransomware;Healthcare;49.45;534590;Hacker Group;Weak Passwords;AI-based Detection;59
Australia;2018;DDoS;Telecommunications;68.35;640352;Nation-state;Weak Passwords;VPN;40
South Africa;2023;DDoS;Retail;13.34;542390;Hacker Group;Weak Passwords;AI-based Detection;40
UK;2024;Man-in-the-Middle;Retail;28.47;193424;Insider;Unpatched Software;Encryption;106
Canada;2024;SQL Injection;Healthcare;63.28;868958;Unknown;Zero-day;Firewall;35
Germany;2022;SQL Injection;Healthcare;11.32;855386;Nation-state;Zero-day;Firewall;87
UK;2023;Malware;IT;65.46;265384;Nation-state;Unpatched Software;Encryption;112
Brazil;2021;Phishing;Retail;84.94;909611;Nation-state;Social Engineering;Antivirus;100
France;2016;Malware;Government;65.04;455084;Hacker Group;Weak Passwords;Firewall;73
South Africa;2015;Ransomware;IT;27.92;653531;Insider;Weak Passwords;Encryption;114
UK;2023;Ransomware;Retail;49.32;868350;Unknown;Weak Passwords;Antivirus;29
Iran;2023;Ransomware;IT;73.64;335034;Unknown;Weak Passwords;Antivirus;66
Brazil;2022;Man-in-the-Middle;Education;75.68;72535;Hacker Group;Weak Passwords;AI-based Detection;55
South Korea;2017;DDoS;IT;87.1;689529;Insider;Zero-day;Antivirus;94
Nigeria;2024;Ransomware;Retail;34.55;231002;Unknown;Weak Passwords;VPN;97
Nigeria;2015;Malware;Education;2.96;157683;Insider;Weak Passwords;Antivirus;90
Germany;2022;Malware;Retail;70.69;997833;Unknown;Social Engineering;Encryption;48
Nigeria;2015;Phishing;Education;59.59;164201;Hacker Group;Social Engineering;VPN;102
Australia;2019;Malware;Government;22.58;147114;Unknown;Weak Passwords;AI-based Detection;70
Spain;2017;DDoS;IT;39.96;801248;Hacker Group;Zero-day;Encryption;37
Japan;2021;SQL Injection;Banking;2.97;137314;Hacker Group;Zero-day;Firewall;98
Israel;2016;Phishing;Healthcare;85.33;559319;Unknown;Social Engineering;Antivirus;52
Italy;2021;Malware;IT;37.01;936265;Hacker Group;Social Engineering;Firewall;28
Spain;2022;Phishing;Healthcare;9.88;207517;Unknown;Social Engineering;Antivirus;27
Iran;2024;Man-in-the-Middle;IT;1.93;117156;Hacker Group;Unpatched Software;AI-based Detection;72
South Africa;2017;SQL Injection;Telecommunications;9.8;692639;Hacker Group;Zero-day;Firewall;62
France;2016;Ransomware;Retail;70.5;998160;Insider;Weak Passwords;VPN;115
Mexico;2017;Ransomware;Retail;3.21;552258;Unknown;Weak Passwords;Antivirus;84
Brazil;2016;DDoS;Telecommunications;10.8;560420;Hacker Group;Weak Passwords;Firewall;40
Iran;2017;Phishing;Telecommunications;97.35;524509;Insider;Social Engineering;VPN;37
Mexico;2023;Man-in-the-Middle;IT;38.24;792337;Nation-state;Social Engineering;Antivirus;42
Mexico;2018;DDoS;IT;81.81;745011;Insider;Unpatched Software;VPN;117
Spain;2015;Man-in-the-Middle;Healthcare;70.07;608198;Hacker Group;Zero-day;VPN;115
Australia;2023;SQL Injection;Government;16.04;105428;Insider;Zero-day;Firewall;92
Nigeria;2022;Phishing;Telecommunications;70.76;716629;Nation-state;Social Engineering;VPN;47
Nigeria;2017;SQL Injection;Government;50.44;803872;Hacker Group;Zero-day;Firewall;104
South Africa;2015;Phishing;Healthcare;93.45;793010;Nation-state;Social Engineering;Antivirus;85
Italy;2016;Man-in-the-Middle;IT;90.13;510355;Insider;Social Engineering;Firewall;33
Canada;2022;Man-in-the-Middle;Government;3.92;455199;Hacker Group;Weak Passwords;AI-based Detection;62
China;2016;Man-in-the-Middle;Government;35.0;723538;Insider;Unpatched Software;Encryption;78
India;2016;DDoS;Retail;65.68;490169;Insider;Zero-day;AI-based Detection;89
Iran;2023;Man-in-the-Middle;Education;36.45;553621;Nation-state;Social Engineering;Firewall;46
Israel;2023;Man-in-the-Middle;Retail;77.95;203612;Insider;Social Engineering;Firewall;74
Spain;2017;DDoS;Education;6.61;336711;Nation-state;Weak Passwords;Encryption;28
Israel;2024;Malware;Banking;15.13;495682;Unknown;Social Engineering;Encryption;52
Iran;2019;Malware;Healthcare;47.62;515380;Unknown;Weak Passwords;VPN;85
Iran;2023;Man-in-the-Middle;Healthcare;80.64;288170;Insider;Weak Passwords;Firewall;64
Japan;2024;DDoS;Banking;69.88;636970;Insider;Weak Passwords;VPN;48
Canada;2020;Man-in-the-Middle;Education;80.14;323491;Hacker Group;Zero-day;Firewall;120
Japan;2024;Phishing;Government;52.19;885077;Insider;Social Engineering;VPN;117
Israel;2018;DDoS;Government;85.87;156555;Insider;Social Engineering;Firewall;76
Mexico;2022;Phishing;Telecommunications;17.42;76436;Unknown;Social Engineering;Antivirus;89
South Africa;2024;Man-in-the-Middle;Banking;62.85;86782;Hacker Group;Zero-day;AI-based Detection;66
China;2016;Ransomware;Government;89.83;323001;Hacker Group;Weak Passwords;Firewall;83
USA;2023;Phishing;Telecommunications;7.22;418268;Unknown;Social Engineering;VPN;60
Spain;2019;Man-in-the-Middle;IT;66.43;269587;Unknown;Zero-day;AI-based Detection;39
China;2024;DDoS;Retail;78.66;877520;Nation-state;Social Engineering;Encryption;61
Italy;2018;Malware;Retail;96.79;752350;Insider;Social Engineering;AI-based Detection;110
Nigeria;2019;Ransomware;IT;82.5;251677;Unknown;Weak Passwords;Antivirus;50
France;2022;Man-in-the-Middle;Education;37.94;39041;Insider;Zero-day;Encryption;81
Spain;2024;Phishing;Telecommunications;54.37;137216;Nation-state;Social Engineering;VPN;42
South Korea;2019;Man-in-the-Middle;Telecommunications;28.98;941167;Hacker Group;Unpatched Software;Firewall;112
USA;2024;DDoS;Education;51.0;84359;Nation-state;Unpatched Software;Antivirus;24
South Korea;2018;Malware;Healthcare;46.38;292140;Nation-state;Zero-day;Firewall;33
India;2018;Man-in-the-Middle;IT;81.59;803965;Nation-state;Zero-day;Encryption;81
Russia;2015;DDoS;IT;98.1;358578;Unknown;Unpatched Software;AI-based Detection;98
China;2022;Phishing;Government;85.68;401551;Nation-state;Social Engineering;VPN;46
Japan;2021;SQL Injection;IT;47.29;373365;Hacker Group;Zero-day;Firewall;95
Iran;2016;Phishing;Education;43.22;570888;Insider;Social Engineering;VPN;49
Italy;2023;DDoS;Telecommunications;96.51;231767;Nation-state;Social Engineering;Encryption;95
Nigeria;2017;Man-in-the-Middle;Government;86.07;473168;Hacker Group;Unpatched Software;Firewall;71
Nigeria;2020;Man-in-the-Middle;Education;50.84;897725;Hacker Group;Weak Passwords;Firewall;45
France;2018;Malware;Telecommunications;81.26;983238;Unknown;Weak Passwords;Encryption;44
Iran;2022;Phishing;Banking;83.02;928755;Insider;Social Engineering;Antivirus;43
Russia;2016;Ransomware;Government;96.17;732668;Insider;Weak Passwords;Firewall;48
USA;2024;Phishing;Healthcare;28.03;308781;Insider;Social Engineering;Antivirus;93
Iran;2015;Man-in-the-Middle;Banking;57.23;876213;Unknown;Unpatched Software;VPN;94
Germany;2023;Man-in-the-Middle;Government;51.07;203075;Hacker Group;Weak Passwords;Antivirus;39
Spain;2022;DDoS;Retail;84.8;288057;Hacker Group;Zero-day;Firewall;29
South Korea;2022;Malware;IT;11.31;114174;Nation-state;Weak Passwords;AI-based Detection;99
China;2017;Ransomware;IT;38.69;15659;Nation-state;Weak Passwords;Antivirus;58
Israel;2018;DDoS;Healthcare;74.94;92608;Nation-state;Weak Passwords;Encryption;58
South Korea;2018;DDoS;Education;59.31;527230;Hacker Group;Unpatched Software;AI-based Detection;71
Russia;2019;Malware;Telecommunications;75.29;172041;Insider;Zero-day;Firewall;53
India;2019;DDoS;Government;9.7;345191;Hacker Group;Social Engineering;Encryption;80
Germany;2016;Phishing;IT;92.81;825786;Hacker Group;Social Engineering;VPN;50
South Korea;2024;DDoS;Government;62.91;52789;Unknown;Weak Passwords;AI-based Detection;94
China;2020;Man-in-the-Middle;Government;60.08;219915;Nation-state;Zero-day;Encryption;63
Mexico;2015;Malware;Healthcare;23.37;688004;Hacker Group;Unpatched Software;Antivirus;83
Mexico;2015;Malware;Government;95.87;104286;Insider;Unpatched Software;AI-based Detection;51
Israel;2016;Man-in-the-Middle;Education;58.85;159849;Unknown;Weak Passwords;VPN;46
Italy;2024;Malware;Retail;29.15;365998;Nation-state;Weak Passwords;Encryption;67
Russia;2015;SQL Injection;Banking;74.55;627905;Insider;Zero-day;Firewall;38
Italy;2019;Malware;Banking;68.89;599005;Insider;Weak Passwords;VPN;117
China;2016;DDoS;Education;56.99;279995;Nation-state;Social Engineering;Encryption;46
Russia;2017;SQL Injection;Banking;2.26;943883;Unknown;Zero-day;Firewall;27
Germany;2022;DDoS;Government;94.62;31761;Nation-state;Social Engineering;VPN;30
South Africa;2016;DDoS;Education;8.59;200508;Hacker Group;Unpatched Software;Firewall;54
UK;2023;DDoS;Telecommunications;84.28;359127;Hacker Group;Unpatched Software;VPN;82
